Array	Sample	Dye	Isolate_nr	strain	Time	replicate_nr	Group	Block	SampleID	Rij	Kolom	dry.idx
13_G07	13	Alexa	13	pad4	T0	1	5	2	13_G07	G	7	31
14_C09	14	Alexa	14	pad4	T0	2	5	2	14_C09	C	9	32
15_D09	15	Alexa	15	pad4	T0	3	5	1	15_D09	D	9	7
19_F05	19	Alexa	19	pad4	T1	1	7	1	19_F05	F	5	10
20_H09	20	Alexa	20	pad4	T1	2	7	2	20_H09	H	9	34
21_G09	21	Alexa	21	pad4	T1	3	7	2	21_G09	G	9	35
22_A09	22	Alexa	22	pad4	T2	1	8	1	22_A09	A	9	11
23_F09	23	Alexa	23	pad4	T2	2	8	2	23_F09	F	9	36
24_A07	24	Alexa	24	pad4	T2	3	8	1	24_A07	A	7	12
25_D09	25	Alexa	25	siz1-2_pad4	T0	1	9	2	25_D09	D	9	37
26_G05	26	Alexa	26	siz1-2_pad4	T0	2	9	1	26_G05	G	5	13
27_E05	27	Alexa	27	siz1-2_pad4	T0	3	9	2	27_E05	E	5	38
31_E09	31	Alexa	31	siz1-2_pad4	T1	1	11	2	31_E09	E	9	40
32_F07	32	Alexa	32	siz1-2_pad4	T1	2	11	2	32_F07	F	7	41
33_B05	33	Alexa	33	siz1-2_pad4	T1	3	11	1	33_B05	B	5	16
34_B07	34	Alexa	34	siz1-2_pad4	T2	1	12	1	34_B07	B	7	17
35_A07	35	Alexa	35	siz1-2_pad4	T2	2	12	2	35_A07	A	7	42
36_A05	36	Alexa	36	siz1-2_pad4	T2	4	12	1	36_A05	A	5	18
37_G05	37	Alexa	37	1xB_pad4	T0	1	13	2	37_G05	G	5	43
38_A05	38	Alexa	38	1xB_pad4	T0	2	13	2	38_A05	A	5	44
39_G07	39	Alexa	39	1xB_pad4	T0	3	13	1	39_G07	G	7	19
43_D05	43	Alexa	43	1xB_pad4	T1	1	15	2	43_D05	D	5	46
44_E07	44	Alexa	44	1xB_pad4	T1	2	15	1	44_E07	E	7	22
45_D07	45	Alexa	45	1xB_pad4	T1	3	15	2	45_D07	D	7	47
46_F09	46	Alexa	46	1xB_pad4	T2	1	16	1	46_F09	F	9	23
47_A09	47	Alexa	47	1xB_pad4	T2	2	16	2	47_A09	A	9	48
48_E09	48	Alexa	48	1xB_pad4	T2	3	16	1	48_E09	E	9	24
