probeset_id	transcript_id
13334158	AT1G01010
13334167	AT1G01040
13334190	At1g01040
13334192	AT1G01073
13334194	AT1G01110
13334202	AT1G01115
13334204	AT1G01160;AT1G01170
13334213	AT1G01180
13334217	AT1G01210
13334223	AT1G01220
13334233	AT1G01225
13334238	AT1G01230
13334244	AT1G01240
13334251	AT1G01260
13334260	AT1G01280
13334264	AT1G01290
13334270	AT1G01300
13334274	AT1G01305
13334277	AT1G01310;AT1G01320
13334281	AT1G01350
13334287	AT1G01355
13334292	AT1G01360
13334298	AT1G01370
13334311	AT1G01380
13334317	AT1G01410
13334319	AT1G01450
13334327	AT1G01460
13334339	AT1G01471
13334341	AT1G01480
13334349	AT1G01500
13334354	AT1G01510
13334363	AT1G01520
13334371	AT1G01540
13334383	AT1G01550
13334389	AT1G01560
13334401	AT1G01570
13334405	AT1G01580
13334415	AT1G01590
13334424	AT1G01600
13334429	AT1G01630
13334437	AT1G01690
13334454	AT1G01695
13334459	AT1G01710
13334478	AT1G01720
13334484	AT1G01730
13334490	AT1G01750
13334495	AT1G01770
13334511	AT1G01780
13334518	AT1G01790
13334537	AT1G01800
13334545	AT1G01810
13334548	AT1G01840
13334552	At3g50840
13334554	AT1G01900
13334558	AT1G01920
13334578	AT1G01940
13334585	AT1G01950
13334609	AT1G01970
13334614	AT1G02000
13334618	AT1G02010
13334642	AT1G02065
13334650	AT1G02074
13334652	AT1G02080
13334703	AT1G02100
13334720	AT1G02110
13334726	AT1G02120
13334745	AT1G02145
13334767	AT1G02150
13334772	AT1G02160
13334779	AT1G02170
13334787	AT1G02190
13334797	AT1G02205
13334812	AT1G02300
13334821	AT1G02305
13334831	AT1G02320
13334833	AT1G02350
13334838	AT1G02370
13334842	AT1G02380
13334849	AT1G02390
13334854	AT1G02400
13334860	AT1G02410
13334871	AT1G02420
13334873	AT1G21529
13334875	AT1G02490
13334877	AT1G02500
13334881	AT1G02520
13334891	AT1G02530
13334902	AT1G02550
13334904	AT1G02560
13334916	AT1G02570
13334919	AT1G02575
13334922	AT1G02580
13334940	AT1G07760;AT1G02600;AT3G06665;AT4G39345;AT5G49435;AT5G02505;AT5G64735
13334942	AT1G02620
13334945	AT1G02640
13334953	AT1G02650
13334957	AT1G02670
13334973	AT1G02680
13334981	AT1G02690
13334994	AT1G02700
13334999	AT1G02720
13335005	AT1G02750
13335014	AT1G02810
13335018	AT1G02813
13335022	AT1G02816
13335026	AT1G02840
13335042	AT1G02850
13335058	AT1G02860
13335067	AT1G02952
13335071	AT1G02970
13335084	AT1G02980
13335100	AT1G03010
13335107	AT1G03022
13335109	AT1G03030
13335122	AT1G03050
13335128	AT1G03070
13335137	AT1G03090;AT1G03100
13335155	AT1G03103
13335160	AT1G03110
13335173	AT1G03120
13335176	AT1G03150
13335185	AT1G03160
13335201	AT1G03170
13335205	AT1G03180
13335217	AT1G03190
13335232	AT1G03200
